source,headline,pubdate,headline_length,Date,Open,High,Low,Close,Volume,is_trading_day,sentiment,sentiment_confidence,next_close,return_1d,target,sentiment_score
NVIDIA Newsroom,NVIDIA Announces Financial Results for Third Quarter Fiscal 2026 - NVIDIA Newsroom,2025-11-19,82,,,,,,,False,neutral,0.7682841420173645,,,0,0.0
Synopsys,NVIDIA and Synopsys Announce Strategic Partnership to Revolutionize Engineering and Design - Synopsys,2025-12-01,101,,,,,,,False,positive,0.8119811415672302,,,0,0.8119811415672302
CarbonCredits.com,NVIDIA Stock Rebounds as AI Product Launch and Data Center Demand Restore Confidence - CarbonCredits.com,2025-12-16,104,,,,,,,False,positive,0.4378317594528198,,,0,0.4378317594528198
The Motley Fool,Prediction: This Company Could Overtake Nvidia as the Largest in the World in 2026 - The Motley Fool,2025-12-31,100,,,,,,,False,positive,0.6905153393745422,,,0,0.6905153393745422
CNBC,"Here are Friday's biggest analyst calls: Nvidia, Apple, Wayfair, Nike, Under Armour, CoreWeave & more - CNBC",2026-01-02,108,,,,,,,False,neutral,0.9428565502166748,,,0,0.0
Nasdaq,Ready to Buy Nvidia Stock? Check Out This Option. - Nasdaq,2026-01-04,58,,,,,,,False,neutral,0.9108219146728516,,,0,0.0
Yahoo Finance,Where Will Nvidia Stock Be in 1 Year? - Yahoo Finance,2026-01-06,53,,,,,,,False,neutral,0.9447538256645204,,,0,0.0
The Motley Fool,This $40 Billion News Could Be Game-Changing for Nvidia Stock in 2026 - The Motley Fool,2026-01-07,87,,,,,,,False,neutral,0.8776117563247681,,,0,0.0
Barron's,Nvidia Stock Falls. China Chip Sales Are a Big Question. - Barron's,2026-01-08,67,,,,,,,False,negative,0.5294532179832458,184.8600006103516,,0,-0.5294532179832458
The Motley Fool,Where Will Nvidia Stock Be in 5 Years? - The Motley Fool,2026-01-09,56,2026-01-09,185.0800018310547,186.33999633789065,183.6699981689453,184.8600006103516,131327500.0,True,neutral,0.9258215427398682,184.8600006103516,0.0,0,0.0
Investor's Business Daily,Nvidia Wavers As Chinese 'AI Tiger' Soars In Trading Debut; Is Nvidia A Buy Now? - Investor's Business Daily,2026-01-09,108,2026-01-09,185.0800018310547,186.33999633789065,183.6699981689453,184.8600006103516,131327500.0,True,neutral,0.6745758652687073,184.8600006103516,0.0,0,0.0
Nasdaq,"Nvidia Soared by 39% in 2025, but Here's Another Super Semiconductor Stock to Buy in 2026 - Nasdaq",2026-01-09,98,2026-01-09,185.0800018310547,186.33999633789065,183.6699981689453,184.8600006103516,131327500.0,True,neutral,0.7597995400428772,184.8600006103516,0.0,0,0.0
Financial Times,How do you value a company like Nvidia? - Financial Times,2026-01-09,57,2026-01-09,185.0800018310547,186.33999633789065,183.6699981689453,184.8600006103516,131327500.0,True,neutral,0.9225503206253052,184.8600006103516,0.0,0,0.0
Barron's,Nvidia Stock Is Stuck. Why It’s Still This Analyst’s Top Pick. - Barron's,2026-01-09,73,2026-01-09,185.0800018310547,186.33999633789065,183.6699981689453,184.8600006103516,131327500.0,True,negative,0.5188843011856079,,,0,-0.5188843011856079
The Motley Fool,Is Nvidia Stock a Buy for 2026? - The Motley Fool,2026-01-10,49,,,,,,,False,neutral,0.9231703281402588,,,0,0.0
The Motley Fool,My Top 5 Predictions for Nvidia in 2026 - The Motley Fool,2026-01-11,57,,,,,,,False,neutral,0.8972349762916565,184.94000244140625,,0,0.0
The Motley Fool,A Once-in-a-Decade Investment Opportunity: The Best Artificial Intelligence (AI) Stock to Buy in 2026 - The Motley Fool,2026-01-12,119,2026-01-12,183.22000122070312,187.1199951171875,183.0200042724609,184.94000244140625,137968500.0,True,positive,0.5235034823417664,183.13999938964844,-0.00973290271437138,0,0.5235034823417664
The Motley Fool,Where Will Nvidia Stock Be in 5 Years? - The Motley Fool,2026-01-14,56,2026-01-14,184.32000732421875,184.4600067138672,180.8000030517578,183.13999938964844,159586100.0,True,neutral,0.9258215427398682,186.22999572753903,0.016872318161999793,1,0.0
Barron's,Nvidia Stock Only Seems to Be Losing Its AI Halo. This Analyst Says It’s Time to Buy. - Barron's,2026-01-16,96,2026-01-16,189.0800018310547,190.44000244140625,186.0800018310547,186.22999572753903,187967200.0,True,neutral,0.6073758602142334,178.07000732421875,-0.04381672442960602,0,0.0
The Motley Fool,Prediction: Nvidia Stock Will Be Worth This Much By Year-End 2026 - The Motley Fool,2026-01-20,83,2026-01-20,181.8999938964844,182.3800048828125,177.61000061035156,178.07000732421875,223345300.0,True,neutral,0.6106188297271729,178.07000732421875,0.0,0,0.0
The Motley Fool,"Prediction: Nvidia Will Overtake Alphabet, Apple, and Microsoft to Become the World's Most Profitable Company by the End of 2027. Here's Why the ""Magnificent Seven"" Stock Is a Buy in January. - The Motley Fool",2026-01-20,209,2026-01-20,181.8999938964844,182.3800048828125,177.61000061035156,178.07000732421875,223345300.0,True,neutral,0.8587040901184082,178.07000732421875,0.0,0,0.0
The Motley Fool,The Overlooked AI Chip Stock That Could Outperform Nvidia in 2026 - The Motley Fool,2026-01-20,83,2026-01-20,181.8999938964844,182.3800048828125,177.61000061035156,178.07000732421875,223345300.0,True,neutral,0.784993588924408,178.07000732421875,0.0,0,0.0
24/7 Wall St.,Will Nvidia Break $300 in 2026 or Should You Buy Broadcom Stock Instead? - 24/7 Wall St.,2026-01-20,88,2026-01-20,181.8999938964844,182.3800048828125,177.61000061035156,178.07000732421875,223345300.0,True,neutral,0.9369881749153136,178.07000732421875,0.0,0,0.0
Barron's,Nvidia Stock Falls. ‘The Honeymoon Is Over for AI.’ - Barron's,2026-01-20,62,2026-01-20,181.8999938964844,182.3800048828125,177.61000061035156,178.07000732421875,223345300.0,True,neutral,0.6109498143196106,183.32000732421875,0.02948278645511104,1,0.0
Nasdaq,Better AI Chip Stock: Nvidia vs. Navitas Semiconductor - Nasdaq,2026-01-21,63,2026-01-21,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000.0,True,positive,0.859814465045929,183.32000732421875,0.0,0,0.859814465045929
Yahoo Finance,Nvidia (NASDAQ: NVDA) Stock Price Prediction for 2026: Where Will It Be in 1 Year (Jan 21) - Yahoo Finance,2026-01-21,106,2026-01-21,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000.0,True,neutral,0.9404003620147704,183.32000732421875,0.0,0,0.0
The Motley Fool,"This Super Semiconductor Stock Crushed Nvidia in 2025, and Jan. 28 Could Be a Very Big Day for Its Investors - The Motley Fool",2026-01-21,126,2026-01-21,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000.0,True,negative,0.7745463252067566,183.32000732421875,0.0,0,-0.7745463252067566
Investor's Business Daily,Dow Jones Futures Fall With Trump's Davos Speech Due After Greenland Sell-Off; Netflix Plunges - Investor's Business Daily,2026-01-21,122,2026-01-21,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000.0,True,negative,0.9323233366012572,183.32000732421875,0.0,0,-0.9323233366012572
Forbes,Why Nvidia Stock Can Drop 30%? - Forbes,2026-01-21,39,2026-01-21,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000.0,True,negative,0.923675537109375,184.83999633789065,0.008291451848917174,1,-0.923675537109375
Bloomberg,Global Chip Stocks Soar as Huang Helps Fuel AI Euphoria at Davos - Bloomberg,2026-01-22,76,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,positive,0.8796877264976501,184.83999633789065,0.0,0,0.8796877264976501
Yahoo Finance,Nvidia stock retains the crown as 'retail king' despite lagging in 2026 - Yahoo Finance,2026-01-22,87,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,positive,0.8243407011032104,184.83999633789065,0.0,0,0.8243407011032104
Barron's,Alibaba Stock Jumps. How It Plans to Rival Nvidia on AI Chips. - Barron's,2026-01-22,73,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,neutral,0.8792080879211426,184.83999633789065,0.0,0,0.0
Yahoo Finance,Nvidia Stock Is Rising -- Jensen Hung Says AI Boom Will Create High-Paying Jobs - Yahoo Finance,2026-01-22,95,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,positive,0.8227071762084961,184.83999633789065,0.0,0,0.8227071762084961
Bloomberg,"Stock Movers: Intel, Nvidia, Netflix - Bloomberg",2026-01-22,48,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,neutral,0.9446752071380616,184.83999633789065,0.0,0,0.0
The Motley Fool,4 Top Artificial Intelligence Stocks to Buy Right Now - The Motley Fool,2026-01-22,71,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,neutral,0.9291179180145264,184.83999633789065,0.0,0,0.0
Investor's Business Daily,Stock Market Today: Dow Scores Back-To-Back Gains; Spice Maker Plummets (Live Coverage) - Investor's Business Daily,2026-01-22,115,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,negative,0.4940390884876251,184.83999633789065,0.0,0,-0.4940390884876251
The Motley Fool,Taiwan Semiconductor Just Delivered Great News for Nvidia Shareholders - The Motley Fool,2026-01-22,88,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,positive,0.8945290446281433,184.83999633789065,0.0,0,0.8945290446281433
MSN,Nvidia stock is lagging behind other AI names. Why the chips darling is out of favor. - MSN,2026-01-22,91,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,negative,0.751667857170105,184.83999633789065,0.0,0,-0.751667857170105
Barchart.com,"As Jensen Huang Preps to Visit China, How Should You Play Nvidia Stock? - Barchart.com",2026-01-22,86,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,neutral,0.9439207911491394,184.83999633789065,0.0,0,0.0
Yahoo Finance,I Nailed My Nvidia Market Cap Prediction in 2025. Here's Where I Predict It's Going in 2026 (Hint: You're Going to Want to Buy Now) - Yahoo Finance,2026-01-22,147,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,neutral,0.8840555548667908,184.83999633789065,0.0,0,0.0
The Motley Fool,Prediction: This Monster Growth Stock Will Soar to $10 Trillion by 2030 - The Motley Fool,2026-01-22,89,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,neutral,0.5081501603126526,184.83999633789065,0.0,0,0.0
Barron's,Nvidia Stock Is Lagging Behind Other AI Names. Here's Why. - Barron's,2026-01-22,69,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,negative,0.6720436811447144,184.83999633789065,0.0,0,-0.6720436811447144
